,Date,Type,Title,Amount,Note,Category,Subcategory,Account,Tags
2481,11-04-2022,1,,32.98,,Jedzenie,,Konto osobiste,
2482,12-04-2022,1,,1000.0,,,,Depozyt Ani,
2483,12-04-2022,1,,340.0,,Stomatolog,Zdrowie i uroda,Konto osobiste,
2484,12-04-2022,1,,10.52,,Jedzenie,,Konto osobiste,
2485,12-04-2022,1,,700.0,,Czynsz,Dom,Konto osobiste,
2486,13-04-2022,0,,1000.0,,,,Depozyt Ani,
2487,13-04-2022,1,,9.38,,Jedzenie,,Konto osobiste,
2488,14-04-2022,1,,101.02,,Paliwo,Samoch�d,Konto osobiste,
2489,14-04-2022,1,,15.48,,Jedzenie,,Konto osobiste,
2490,15-04-2022,0,,100.0,,Prezenty,,Konto osobiste,
2491,19-04-2022,1,,480.0,,Stomatolog,Zdrowie i uroda,Konto osobiste,
2492,19-04-2022,1,,6.65,,Jedzenie,,Konto osobiste,
2493,19-04-2022,1,,96.56,,Jedzenie,,Konto osobiste,
2494,23-04-2022,1,,58.24,,Jedzenie,,Konto osobiste,
2495,24-04-2022,1,,43.12,,Jedzenie,,Konto osobiste,
2496,24-04-2022,1,,37.9,,Jedzenie,,Konto osobiste,
2497,26-04-2022,1,,30.0,,Telefon,Dom,Konto osobiste,
2498,27-04-2022,1,,49.38,,Jedzenie,,Konto osobiste,
2499,28-04-2022,1,,21.0,,Jedzenie,,Konto osobiste,
2500,28-04-2022,1,HBO,24.9,,"Netflix, itp.",Rozrywka,Konto osobiste,
2501,28-04-2022,1,Rata za telefon ,79.0,,Telefon,Elektronika,Konto osobiste,
2502,28-04-2022,1,,50.0,,Prezenty,,Konto osobiste,
2503,28-04-2022,1,,12.0,,Restauracja,Jedzenie,Konto osobiste,
2504,28-04-2022,1,,49.0,,Rozrywka,,Konto osobiste,
2505,28-04-2022,1,,12.01,,Jedzenie,,Konto osobiste,
2506,29-04-2022,1,,32.0,,Jedzenie,,Konto osobiste,
2507,29-04-2022,0,,4807.01,,Wyp�ata,Praca,Konto osobiste,
2508,29-04-2022,1,,33.3,,Jedzenie,,Konto osobiste,
2509,29-04-2022,1,,45.5,,Restauracja,Jedzenie,Konto osobiste,
2510,30-04-2022,1,,83.94,,Prezenty,,Konto osobiste,
2511,30-04-2022,1,,13.0,,Jedzenie,,Konto osobiste,
2512,30-04-2022,1,,84.93,,Jedzenie,,Konto osobiste,
2513,30-04-2022,1,,34.99,,Woda,Dom,Konto osobiste,
2514,30-04-2022,1,,93.42,,�rodki czysto�ci,Dom,Konto osobiste,
2515,30-04-2022,1,,41.48,,Prezenty,,Konto osobiste,
2516,30-04-2022,0,,200.0,,Rodzice,,Konto osobiste,
2517,30-04-2022,1,,181.38,,Telefony,Rodzice,Konto osobiste,
2518,30-04-2022,1,,464.37,,Oszcz�dno�ci,,Konto osobiste,
2519,01-05-2022,1,,52.98,,Meble,Dom,Sodexo ,
2520,03-05-2022,1,,30.0,,Taxi/bolt,Samoch�d,Konto osobiste,
2521,03-05-2022,1,W�dka ,1000.0,,Wesele + �lub,,Konto osobiste,
2522,04-05-2022,1,,6.99,,Kosmetyki,Zdrowie i uroda,Konto osobiste,
2523,04-05-2022,1,,27.99,,Restauracja,Jedzenie,Konto osobiste,
2524,05-05-2022,1,,23.72,,Jedzenie,,Konto osobiste,
2525,07-05-2022,0,,50.0,,Prezenty,,Konto osobiste,
2526,07-05-2022,1,,7.24,,Jedzenie,,Konto osobiste,
2527,07-05-2022,1,,77.59,,Jedzenie,,Konto osobiste,
2528,07-05-2022,1,,25.15,,Prezenty,,Konto osobiste,
2529,09-05-2022,1,,31.21,,Jedzenie,,Konto osobiste,
2530,09-05-2022,1,Po�yczka dla Ani ,1200.0,,Po�yczone,D�ugi,Konto osobiste,
2531,11-05-2022,1,,24.5,,Restauracja,Jedzenie,Konto osobiste,
2532,11-05-2022,1,Game pass,54.99,,Gry,Rozrywka,Konto osobiste,
2533,11-05-2022,1,,53.32,,Jedzenie,,Konto osobiste,
2534,11-05-2022,1,,700.0,,Czynsz,Dom,Konto osobiste,
2535,11-05-2022,1,,623.0,,Czynsz,Dom,Konto osobiste,
2536,13-05-2022,1,,28.0,,Jedzenie,,Konto osobiste,
2537,13-05-2022,1,,78.25,,Jedzenie,,Konto osobiste,
2538,14-05-2022,1,,10.19,,Jedzenie,,Konto osobiste,
2539,15-05-2022,1,,7.0,,Restauracja,Jedzenie,Konto osobiste,
2540,15-05-2022,1,,8.79,,Jedzenie,,Konto osobiste,
2541,16-05-2022,1,,63.15,,Jedzenie,,Konto osobiste,
2542,17-05-2022,1,,90.63,,Leki,Zdrowie i uroda,Konto osobiste,
2543,17-05-2022,1,,9.37,,Jedzenie,,Konto osobiste,
2544,18-05-2022,1,,28.55,,Jedzenie,,Konto osobiste,
2545,19-05-2022,1,,30.0,,Telefon,Dom,Konto osobiste,
2546,20-05-2022,1,,23.55,,Jedzenie,,Konto osobiste,
2547,21-05-2022,1,,13.98,,Restauracja,Jedzenie,Konto osobiste,
2548,21-05-2022,1,,90.98,,Prezenty,,Konto osobiste,
2549,21-05-2022,1,,25.99,,Kosmetyki,Zdrowie i uroda,Konto osobiste,
2550,21-05-2022,1,,39.99,,Prezenty,,Konto osobiste,
2551,21-05-2022,1,,47.0,,Restauracja,Jedzenie,Konto osobiste,
2552,21-05-2022,1,,63.95,,Jedzenie,,Konto osobiste,
2553,23-05-2022,1,,25.16,,Jedzenie,,Konto osobiste,
2554,24-05-2022,1,,33.32,,Jedzenie,,Konto osobiste,
2555,25-05-2022,1,,60.98,,Restauracja,Jedzenie,Konto osobiste,
2556,25-05-2022,1,,100.49,,Spodnie,Odzie�,Konto osobiste,
2557,25-05-2022,1,,129.0,,Spodnie,Odzie�,Konto osobiste,
2558,25-05-2022,1,,25.0,,Prezenty,,Konto osobiste,
2559,26-05-2022,1,,23.0,,Jedzenie,,Konto osobiste,
2560,26-05-2022,1,,64.49,,Leki,Zdrowie i uroda,Konto osobiste,
2561,26-05-2022,1,,41.95,,Jedzenie,,Konto osobiste,
2562,26-05-2022,1,,33.96,,Prezenty,,Konto osobiste,
2563,27-05-2022,1,,21.5,,Restauracja,Jedzenie,Konto osobiste,
2564,27-05-2022,1,,70.0,,Fryzjer,Zdrowie i uroda,Konto osobiste,
2565,27-05-2022,1,,8.99,,Restauracja,Jedzenie,Konto osobiste,
2566,27-05-2022,1,,7.85,,Jedzenie,,Konto osobiste,
2567,28-05-2022,1,HBO,24.9,,"Netflix, itp.",Rozrywka,Konto osobiste,
2568,28-05-2022,1,Rata za telefon ,79.0,,Telefon,Elektronika,Konto osobiste,
2569,28-05-2022,0,,4699.98,,Wyp�ata,Praca,Konto osobiste,
2570,28-05-2022,1,,150.0,,Prezenty,,Konto osobiste,
2571,29-05-2022,0,,200.0,,Rodzice,,Konto osobiste,
2572,30-05-2022,1,,32.89,,Jedzenie,,Konto osobiste,
